SampleID	Root;Other;Other	Root;k__Bacteria;Other	Root;k__Bacteria;p__Acidobacteria	Root;k__Bacteria;p__Actinobacteria	Root;k__Bacteria;p__Armatimonadetes	Root;k__Bacteria;p__BRC1	Root;k__Bacteria;p__Bacteroidetes	Root;k__Bacteria;p__Chlorobi	Root;k__Bacteria;p__Chloroflexi	Root;k__Bacteria;p__Cyanobacteria	Root;k__Bacteria;p__Firmicutes	Root;k__Bacteria;p__Fusobacteria	Root;k__Bacteria;p__GN02	Root;k__Bacteria;p__Gemmatimonadetes	Root;k__Bacteria;p__Nitrospirae	Root;k__Bacteria;p__OP11	Root;k__Bacteria;p__Planctomycetes	Root;k__Bacteria;p__Proteobacteria	Root;k__Bacteria;p__SC4	Root;k__Bacteria;p__SM2F11	Root;k__Bacteria;p__SPAM	Root;k__Bacteria;p__SR1	Root;k__Bacteria;p__Spirochaetes	Root;k__Bacteria;p__Synergistetes	Root;k__Bacteria;p__TM7	Root;k__Bacteria;p__Tenericutes	Root;k__Bacteria;p__Thermi	Root;k__Bacteria;p__Verrucomicrobia	Root;k__Bacteria;p__WPS-2	Root;k__Bacteria;p__ZB2
Hand57	0.0	0.0132547864507	0.00220913107511	0.685567010309	0.0	0.0	0.0294550810015	0.0	0.00147275405007	0.00662739322533	0.0684830633284	0.000736377025037	0.0	0.00147275405007	0.0	0.0	0.0	0.190721649485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand58	0.0	0.00393419170243	0.00107296137339	0.85765379113	0.0	0.0	0.00608011444921	0.0	0.00035765379113	0.00429184549356	0.0257510729614	0.00107296137339	0.0	0.0	0.0	0.0	0.0	0.0997854077253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand59	0.0	0.00399290150843	0.0	0.813664596273	0.00133096716948	0.0	0.00354924578527	0.0	0.0	0.00532386867791	0.0510204081633	0.000887311446318	0.0	0.0	0.0	0.0	0.000887311446318	0.11934338953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand61	0.0	0.00188323917137	0.000627746390458	0.821510776313	0.000209248796819	0.0	0.00585896631094	0.0	0.0010462439841	0.00418497593639	0.0330613098975	0.00125549278092	0.0	0.0	0.0	0.0	0.0	0.129106507638	0.0	0.0	0.0	0.0	0.000836995187278	0.0	0.000209248796819	0.0	0.000209248796819	0.0	0.0	0.0
Hand62	0.0	0.00359636132854	0.000423101332769	0.831394118891	0.0	0.0	0.00719272265708	0.0	0.000211550666385	0.00338481066215	0.046752697271	0.0	0.0	0.000423101332769	0.0	0.0	0.000211550666385	0.105775333192	0.0	0.0	0.0	0.0	0.0	0.0	0.000634651999154	0.0	0.0	0.0	0.0	0.0
Hand63	0.0	0.002435460302	0.0	0.817827569411	0.0	0.000730638090599	0.00633219678519	0.0	0.000730638090599	0.00852411105699	0.0621042377009	0.0	0.0	0.0002435460302	0.0	0.0	0.000487092060399	0.0993667803215	0.0	0.0	0.0	0.0002435460302	0.0	0.0	0.0	0.0	0.000974184120799	0.0	0.0	0.0
Hand65	0.0	0.00270669291339	0.00270669291339	0.805364173228	0.000492125984252	0.0	0.0108267716535	0.0	0.00221456692913	0.00295275590551	0.0504429133858	0.000984251968504	0.0	0.000246062992126	0.0	0.0	0.000246062992126	0.119586614173	0.000246062992126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000984251968504	0.0	0.0	0.0
Hand66	0.0	0.00184374279788	0.0	0.823461627103	0.00046093569947	0.0	0.00253514634708	0.0	0.000691403549205	0.00483982484443	0.0606130444803	0.0	0.0	0.000230467849735	0.0	0.0	0.00046093569947	0.10394100023	0.0	0.0	0.0	0.0	0.0	0.0	0.00046093569947	0.0	0.00046093569947	0.0	0.0	0.0
Hand67	0.0	0.00117536436295	0.000470145745181	0.822049835449	0.0	0.0	0.00611189468735	0.0	0.0	0.00869769628585	0.064880112835	0.0025858015985	0.0	0.0	0.0	0.000235072872591	0.0	0.0926187118007	0.0	0.0	0.0	0.0	0.000235072872591	0.0	0.000705218617772	0.000235072872591	0.0	0.0	0.0	0.0
Hand69	0.0	0.00104975855553	0.000839806844426	0.858282595003	0.0	0.0	0.00251942053328	0.0	0.00146966197775	0.00398908251102	0.0300230946882	0.000209951711106	0.0	0.000419903422213	0.0	0.0	0.0	0.100146966198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00104975855553	0.0	0.0	0.0
Hand70	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand71	0.0	0.000635324015248	0.000635324015248	0.830156713257	0.000635324015248	0.0	0.00487081745023	0.0	0.00105887335875	0.00804743752647	0.0544260906396	0.00148242270224	0.0	0.0	0.0	0.0	0.000211774671749	0.0969927996612	0.0	0.000423549343499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000211774671749	0.000211774671749	0.0
Hand73	0.0	0.00336842105263	0.00105263157895	0.787368421053	0.000631578947368	0.0	0.00821052631579	0.0	0.00378947368421	0.0117894736842	0.0513684210526	0.00147368421053	0.0	0.000631578947368	0.0	0.0	0.000421052631579	0.128210526316	0.0	0.0	0.0	0.0	0.000210526315789	0.0	0.0	0.0	0.00147368421053	0.0	0.0	0.0
Hand74	0.00048828125	0.00244140625	0.001708984375	0.835205078125	0.000732421875	0.0	0.0029296875	0.0	0.00048828125	0.006591796875	0.05029296875	0.000244140625	0.0	0.0	0.0	0.0	0.0	0.09814453125	0.0	0.0	0.0	0.0	0.0	0.0	0.000244140625	0.0	0.0	0.00048828125	0.0	0.0
Hand75	0.0	0.00100502512563	0.000753768844221	0.862311557789	0.0	0.0	0.00402010050251	0.0	0.0	0.0072864321608	0.0489949748744	0.0	0.0	0.0	0.0	0.0	0.0	0.0753768844221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000251256281407	0.0	0.0	0.0
Hand77	0.0	0.00184374279788	0.0	0.697395713298	0.0	0.0	0.00253514634708	0.0	0.00138280709841	0.0774371975109	0.123300299608	0.0	0.0	0.0	0.0	0.0	0.0	0.0961050933395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand78	0.0	0.00101884870097	0.000254712175242	0.912633723892	0.0	0.0	0.00101884870097	0.0	0.000254712175242	0.00178298522669	0.0364238410596	0.000254712175242	0.0	0.0	0.0	0.0	0.0	0.046357615894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand79	0.0	0.000500625782228	0.000250312891114	0.931414267835	0.0	0.0	0.00100125156446	0.0	0.000250312891114	0.00200250312891	0.0327909887359	0.000250312891114	0.0	0.0	0.0	0.0	0.0	0.0315394242804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand81	0.0	0.00287201579609	0.0	0.841321127266	0.0	0.0	0.00448752468139	0.0	0.00107700592353	0.00287201579609	0.0457727517501	0.000179500987255	0.0	0.00107700592353	0.0	0.0	0.0	0.099084544965	0.0	0.0	0.0	0.0	0.0	0.0	0.000359001974511	0.000359001974511	0.0	0.0	0.000538502961766	0.0
Hand82	0.0	0.00209599664641	0.000838398658562	0.871515405575	0.0	0.0	0.00398239362817	0.0	0.000838398658562	0.00419199329281	0.061203102075	0.000209599664641	0.0	0.0	0.0	0.0	0.000209599664641	0.0544959128065	0.000209599664641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000209599664641	0.0	0.0	0.0
Hand83	0.0	0.000234796900681	0.000469593801362	0.895280582296	0.0	0.0	0.000939187602724	0.0	0.000234796900681	0.00305235970885	0.076543789622	0.000469593801362	0.0	0.0	0.0	0.0	0.0	0.0223057055647	0.0	0.0	0.0	0.0	0.0	0.0	0.000469593801362	0.0	0.0	0.0	0.0	0.0
Hand85	0.0	0.00171159606333	0.000427899015832	0.830338040223	0.000427899015832	0.0	0.00641848523748	0.000213949507916	0.000855798031665	0.0053487376979	0.0517757809157	0.00192554557125	0.0	0.000427899015832	0.0	0.0	0.000427899015832	0.0982028241335	0.0	0.0	0.0	0.0	0.0	0.0	0.000641848523748	0.0	0.000855798031665	0.0	0.0	0.0
Hand86	0.0	0.0025004808617	0.000577034045009	0.861319484516	0.0	0.0	0.00500096172341	0.0	0.000769378726678	0.00846316599346	0.0625120215426	0.00115406809002	0.0	0.00019234468167	0.0	0.0	0.00019234468167	0.0567416810925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019234468167	0.000384689363339	0.0	0.0	0.0
Hand87	0.0	0.0	0.00310398344542	0.757889291257	0.0	0.0	0.00905328504915	0.0	0.0	0.0235385411278	0.112260734609	0.00129332643559	0.0	0.0	0.0	0.0	0.000517330574237	0.0923435075013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand89	0.0	0.00215517241379	0.00215517241379	0.812192118227	0.0	0.0	0.00584975369458	0.0	0.00277093596059	0.00615763546798	0.0600369458128	0.000307881773399	0.0	0.0	0.0	0.0	0.000307881773399	0.106219211823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001539408867	0.000307881773399	0.0	0.0
Hand90	0.0	0.00195993031359	0.000435540069686	0.785932055749	0.0	0.0	0.00130662020906	0.0	0.00065331010453	0.00174216027875	0.157012195122	0.0	0.0	0.0	0.0	0.0	0.0	0.0503048780488	0.000217770034843	0.0	0.0	0.0	0.0	0.0	0.000217770034843	0.0	0.000217770034843	0.0	0.0	0.0
Hand91	0.0	0.000863371465573	0.000431685732787	0.799913662853	0.0	0.0	0.000863371465573	0.000215842866393	0.0	0.000431685732787	0.17353766458	0.00064752859918	0.0	0.0	0.0	0.0	0.0	0.0226635009713	0.0	0.0	0.0	0.0	0.000215842866393	0.0	0.000215842866393	0.0	0.0	0.0	0.0	0.0
Hand92	0.0	0.00152140838948	0.00086937622256	0.898935014127	0.0	0.0	0.00173875244512	0.0	0.0	0.00173875244512	0.0449902195175	0.00043468811128	0.0	0.0	0.0	0.0	0.0	0.048902412519	0.0	0.0	0.0	0.0	0.0	0.0	0.00021734405564	0.0	0.00043468811128	0.00021734405564	0.0	0.0
Hand93	0.0	0.00131262305841	0.000218770509735	0.847954495734	0.0	0.0	0.00131262305841	0.0	0.000218770509735	0.0185954933275	0.0861955808357	0.000656311529206	0.0	0.0	0.0	0.0	0.0	0.0433165609276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000218770509735	0.0	0.0	0.0
Hand94	0.0	0.000391542678152	0.000195771339076	0.817541111981	0.000195771339076	0.0	0.00352388410337	0.0	0.00097885669538	0.00743931088489	0.0988645262334	0.00254502740799	0.0	0.0	0.0	0.0	0.0	0.0675411119812	0.0	0.0	0.0	0.0	0.0	0.0	0.000587314017228	0.0	0.000195771339076	0.0	0.0	0.0
Arm13	0.0	0.00212514757969	0.00047225501771	0.822904368359	0.0	0.0	0.00850059031877	0.0	0.0	0.0108618654073	0.0314049586777	0.00165289256198	0.0	0.000236127508855	0.0	0.0	0.0	0.118536009445	0.0	0.0	0.0	0.0	0.0	0.0	0.00236127508855	0.000236127508855	0.0	0.0	0.0	0.000708382526564
Arm14	0.0	0.00225779967159	0.000821018062397	0.853858784893	0.000410509031199	0.0	0.014367816092	0.0	0.0	0.00472085385878	0.0482348111658	0.000410509031199	0.0	0.0	0.0	0.0	0.0	0.0749178981938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arm15	0.0	0.000190730497807	0.0	0.900247949647	0.0	0.0	0.00476826244516	0.0	0.0	0.00934579439252	0.0190730497807	0.000190730497807	0.0	0.0	0.0	0.0	0.0	0.0650390997521	0.0	0.0	0.0	0.0	0.000190730497807	0.0	0.0	0.0	0.0	0.0	0.000762921991226	0.000190730497807
Arm18	0.0	0.0049356223176	0.0141630901288	0.751072961373	0.000429184549356	0.0	0.0139484978541	0.000214592274678	0.0137339055794	0.0173819742489	0.0212446351931	0.00214592274678	0.000643776824034	0.00472103004292	0.0	0.0	0.000643776824034	0.151072961373	0.0	0.0	0.000214592274678	0.0	0.0	0.0	0.00128755364807	0.0	0.0	0.000643776824034	0.0	0.00150214592275
Arm19	0.0	0.00293255131965	0.00397989107667	0.760368663594	0.0	0.0	0.0100544616674	0.0	0.00104733975702	0.0171763720151	0.0364474235442	0.000209467951403	0.0	0.0	0.0	0.0	0.0	0.167783829074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arm22	0.0	0.00338753387534	0.00271002710027	0.760501355014	0.0	0.0	0.0233739837398	0.0	0.0	0.0111788617886	0.0643631436314	0.000677506775068	0.0	0.0	0.0	0.0	0.0	0.133807588076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
