pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
Hand107	-0.0196119093306	-0.00873710957704	0.0665345173397	-0.0111058705886	0.00112236655286	-0.0044547745406	0.00393489895971	-0.00201748291896	0.0109544204883	-0.00180662186864	-0.0131884350953	0.0213452537466	-0.00224955485793	0.000564758170617	-0.00522104350913	0.00236017124735	0.00534281340672	-0.0205017753674	0.000919941688394	0.012877009398	0.00479162836431	-0.0116361883496	-0.00320624816729	-0.0103079347413	0.00962113021689	0.00590923635071	-0.00129288179505	0.00644652461484	0.0115256658999	-0.00456558336213	0.00205388787246	0.00220226122209	0.000821632474251	-0.0065855914072	-0.00374438546303	-0.0177429780207	-0.00177214690533	-0.00168527641221	0.00735956428644	0.00603532055171	0.0107304385108	0.00158284344163	2.81339987772e-05	0.00770942463467	0.00982390399088	0.00527871783331	0.00735674781301	-0.00215004900343	-0.00312031801403	-0.00517066071686	-0.00533344000257	-0.0003041527536	-0.00303999745211	-0.00451900034687	-0.00292864133599	-0.00442425655436	-0.00380488558444	0.00258567117214	0.00120651666636	0.0078181543022	0.00176067878585	0.000377146224117	0.000134665902748	1.39038672185e-09
Hand23	0.0176747342849	0.0863312635985	0.0447372298468	0.00400358861041	0.011900936272	0.00147597955422	0.00490111154878	-0.0100681762605	-0.0419874989288	-0.000981637751049	-0.0149558524853	-0.0231451689399	0.0260578393588	0.0154963548995	-0.0109590461859	-0.0131217954875	0.00369445532311	0.0173776001834	0.0135757055967	0.000198639215031	0.00315842243148	-0.00551423741395	0.00514384783766	0.00656744420385	-0.00134904114106	-0.00143151819722	0.00901953380804	0.00043164781645	0.000221044464895	0.00442139208068	6.50952326593e-05	-0.00386722338218	-0.00131601980956	0.00800228015226	-0.00878748611523	-0.000703381864748	-0.00835557144158	0.00252716963991	0.00999323564656	-0.0143574936303	-0.00185407209937	0.0123933220147	0.00280626086751	0.00250605425587	0.015319214664	0.00751970086445	0.000600569074604	-0.00111075141316	0.00560595481998	-0.00571063036859	0.00444372094521	-0.00493334733331	-0.00409154567135	0.00167921018718	-0.00074849087412	0.000443972568769	0.000855945057866	-0.0010547463906	-2.86508993211e-05	-0.00282203766674	0.000620525950266	0.000905293205605	1.46599900098e-05	1.39038672185e-09
Hand24	0.0372153202953	0.114295555159	0.0265455932544	0.0317693522899	-0.00319407737572	0.0277039111693	-0.0116223802564	-0.0203042957685	0.000630246019262	0.0247773032158	-0.021100496084	-0.00377150765354	0.00503549851421	-0.00163504428916	0.0205603308719	-0.0236043069322	0.00275809217421	0.010013825922	-0.0142682023585	0.0169422249862	-0.0251162706468	0.0122642148803	0.0079844548797	0.014670925885	-0.00798125078628	-0.00981452423289	0.00252745449979	0.00364974533505	-0.00178544303808	0.00518809133185	0.000308326794853	-0.0056047523284	0.017921383861	-0.00682621498167	0.000832350140686	-0.00225439045048	0.00242364403097	0.000957550367902	5.3943389129e-05	0.00681975265836	-0.00183422571647	0.000375379550802	-0.00172591600048	-0.00378996538955	-0.00372341956987	-0.0064488513479	0.0017855812381	-0.00155988076255	-0.00930640698209	-0.00111080808158	0.0017226394125	0.00181068662246	0.00447030964859	0.0033146681086	0.000542726682604	-0.00362602197194	-0.00127892210073	0.00171670149189	0.00231444585363	0.00184584273924	0.00217921493006	0.00105975584196	-0.000246526017163	1.39038672185e-09
Hand25	0.0264130296967	-0.0486012915293	0.0101500818981	-0.0273852276878	-0.000666115414041	-0.0227510450409	0.00909675572252	0.0258054013836	-0.0122022114386	0.0408714412133	-0.00327496820255	-0.01213600041	-0.0163062891881	0.00939784255366	0.0230705075968	0.00605556765275	0.00989915162949	-0.00286403944219	0.00198483468093	0.0122941617104	0.000965357604394	0.0163602489795	-0.00707303193	0.0136518628877	0.00957897121027	-0.0143858782918	-0.00444459469686	0.00197337132891	0.00144589170208	-0.00917039256829	0.0155326373324	-0.00902589641419	-0.0129469559346	0.00125182789675	-0.0116645940522	-0.000869665694859	0.00813935273771	-0.00322588356149	-0.00419766315073	-0.00495967962408	-0.000415825704418	-0.00172391643756	-0.0077302082931	-0.00731972415476	0.0040727026212	0.00564863413351	-0.001112369049	-9.86996436682e-05	0.00553062681623	-0.00304160552797	0.000552243090028	0.00461400682563	0.00623809889843	-0.00493907567528	-0.00194312179766	-0.00433789790193	0.00501337699714	-0.00278262064173	-0.00167947868423	0.00137971014202	-0.00135475577214	0.000372421577248	-0.000273351075217	1.39038672185e-09
Hand26	0.0526849385394	-0.0205547695601	-0.0161752688484	-0.00565719609988	0.0040058541505	0.00351624213792	-0.0110086672042	-0.0110690461185	-0.0142221142864	0.00189976873203	-0.00662602520901	-0.0295223516704	-0.00612853643127	-0.0273576333617	0.00291585713866	0.0242439079201	0.00803415408487	-0.00984019922628	0.0109283930426	0.00488616644134	-0.00381541428382	-0.00390787994435	0.00913281636353	-0.0177895183783	-0.0015605863903	0.0119018172436	-0.00700998018462	-0.0100914190603	-0.000590697089654	-0.0163861501848	-0.00693933662463	0.00281416861361	0.00551599882356	-0.00501431559808	-0.00283042687766	-0.00326195267335	0.00448484678769	-0.0200625203105	-0.0065753899498	-0.000897989293611	-0.00254641774433	0.00360429363269	-0.00656602914089	-0.00231263222661	0.00293381142568	-0.00620150217296	-0.00235596726495	-0.0055812667362	0.00584698263553	0.00517561264389	0.00417492726561	-0.00556940862809	0.00245022764451	0.00538128147831	-0.00463222855224	0.00100552361233	0.000924024356382	0.00102846699896	0.00213513833461	-0.000110509426654	0.00292507398431	0.00229747523551	-0.00020107933225	1.39038672185e-09
Hand27	0.0849101568868	-0.0599765546358	-0.00957694260631	0.0199737649786	-0.00334975043897	0.0113860770061	0.00277906748807	-0.0043236494215	0.00120116867965	-0.00812083410987	-0.0290901765028	-0.00262857497708	0.0149096584087	0.00416980365388	0.0253052453321	0.00846160997161	-0.00707994231247	-0.0137097867102	-0.0117117433166	0.0103677723884	-0.00537531375833	-0.0216665071664	0.00903669637442	-0.0123435343174	0.00213812053844	-0.00948879256357	0.0074319232239	-0.000498908443686	0.0109783734755	-0.00189845823008	-0.00559778085958	-0.00554604259605	-0.0142142709386	-0.00274743376651	0.00922990466531	-0.00428577419312	0.00729963270297	0.00294718850681	0.0102735842633	-0.0100604835849	-0.00549074145922	-0.00529920815362	0.00848246978215	-0.000136956894513	-0.00529866872038	-0.00569454444252	-0.00300182523769	0.0046406040342	-0.000287726333332	-0.00493014477438	0.00945782900591	0.00897680434304	-0.00327191312106	-0.00411629839724	-0.00205326786607	0.00316072568643	-0.00106928709561	-7.85168177219e-05	-0.00114383401333	-0.00219878868834	0.000723102830483	0.000214096471999	-4.9734528823e-07	1.39038672185e-09
Hand28	-0.0502642693257	-0.0202079257318	0.0506330362146	-0.0199909387157	0.00543655560904	0.00497756032788	-0.0378590513598	0.00395269972875	-0.0181039257919	-0.00634872224665	0.00401000642346	0.0100409293085	-0.00368549287177	0.00907765771927	-0.000621304296454	0.00176594502495	0.00321343669258	-0.0106133809559	-0.00718686125968	0.00687123777375	0.0109837399957	0.0137976913423	-0.00544481217844	0.00237004039911	0.0129248328288	0.00363542254246	0.0029848529853	-0.0135087293872	0.00144382783605	-0.00758741851026	-0.00912195255366	0.00409893109783	0.000531544220323	0.00578785142764	0.00672639904362	-0.0062426738782	-0.00384253276559	-5.41794622729e-05	0.0052948746392	0.00642666670999	0.00569044511358	0.013140956515	0.00648298350103	0.00373055537122	0.00100336086457	-0.00463850133256	-0.000240691441482	0.00998323901868	-0.00601384588889	0.00787764109867	0.00173305299103	0.000541957433403	0.00813500635272	-0.000276708861319	-0.000334444532832	-0.00218404623334	-0.00116509279667	-0.00543188329253	-0.00169659896837	-0.00572570848805	0.0017451767511	-0.00215957078855	-0.00052830565649	1.39038672185e-09
Hand29	-0.00703461544669	0.0075342138834	-0.0185333600719	-0.0165523251396	-0.0382542775004	-0.00652976841509	0.0124386114823	-0.000387449372929	0.0547033596504	-0.0184454310837	0.0021315061	0.0122509818127	-0.0146817708008	0.0151097634529	-0.0191035516707	-0.0160888282564	0.00228262883289	-0.0142191371075	0.0180421949201	0.00467539192944	0.00371062206281	-0.000252216180534	0.00840152069143	0.0161722153017	-0.00115203274269	0.000857060255492	-0.0109502432112	-0.00130457517747	0.00505996339244	-0.00381606973493	0.00899622374804	-0.0205539624227	0.0042443008366	-0.00680290229417	0.00549827662971	0.00245228360258	-0.000593606226894	-0.0041618622671	0.0137902031597	-0.00707441495482	-0.00406586215914	0.00963735014478	-0.00541435532599	-0.00368492992756	-0.00163157429641	0.0016098679781	0.00290946960757	0.00450407086706	0.0027628085789	0.00847509913243	0.00174734525502	0.00193112053297	-0.00278747092136	0.00198640365491	-0.000263006849444	0.00301973517411	0.00300319997511	0.00182889485374	0.00365672633346	-0.000994347445487	0.00110852125666	0.000373677593165	-0.000310690180795	1.39038672185e-09
Hand30	0.166152439574	0.0698152209021	0.00741720613484	0.106767431082	-0.044294093621	-0.0271484191159	-0.0115204525622	-0.0234703429242	-0.0130173432949	0.0233111355247	0.00412193030548	-0.0111127940915	-0.0450382388891	-0.0107930602182	-0.0139207255454	0.00544318847362	-0.00164515984726	-0.0132974855354	-0.00782460607944	-0.0160925852069	-0.000440479884681	0.000993657127814	-0.00780601379812	-0.00163185574872	0.0145407247739	0.00108487127775	-0.00348828004269	0.0096122628932	0.00330945315436	0.000440480871455	0.00606426694056	0.000339160588381	-0.00509079236511	0.00112575487186	-0.00196693294273	0.00808436556303	0.00120394728384	9.56403237359e-07	0.0027549304303	0.00088460434564	0.00371730841299	0.00116723421829	0.00832789057343	-0.00318892019386	0.00220840609223	-0.00028290920343	0.0010139383959	0.00291116921761	-0.00107043797866	0.00246252998181	-0.000686946329509	-0.00142904371282	-0.00295722680933	-0.00154215488003	0.00024836484266	0.00273668847672	-0.000157123162227	-0.00280918917273	0.000257855664134	4.47538747595e-05	0.000524778781949	-0.000411639234581	0.000209588996344	1.39038672185e-09
Hand31	0.0832816166753	0.0586725356014	-0.018449250346	-0.0170832526679	0.0362111524024	0.0126175396396	0.0461844846025	0.00201129594841	0.00887849559983	0.0344639062731	0.0247506685285	0.00354201140056	0.0155484950919	0.0307528495387	0.0142133902748	0.0151135223379	0.0152975215454	-0.00790799270037	0.00126024465976	0.00842610545564	0.00488135384887	-0.00536660981204	-0.0058008695427	0.0149642173394	0.00984800384952	-0.00223707770056	0.0001640380023	-0.000899000667882	-0.000193179800081	0.00345381428783	-0.0192372034765	0.00433903169488	0.00789602791447	-0.00644963750844	0.00494428144162	0.00304729870917	0.00376278369251	0.00047815465013	-0.00203290357135	0.00649876118565	0.00653277408653	-0.00260381845418	0.0102681225617	-0.00383317339847	0.00307633573288	-0.00170101284809	-0.00676283242787	0.000316552854544	0.0072762477695	0.00937469606388	0.000126363469671	-0.00162314517554	-0.00733612089376	0.000341328498309	0.000158155737436	0.0013578213725	-0.00220931896093	-0.00222035822446	0.0016688895909	0.000833919728662	-0.000169982595315	0.000216831445161	0.000265026374635	1.39038672185e-09
